year.x,month.x,day.x,dep_time,sched_dep_time,dep_delay,arr_time,sched_arr_time,arr_delay,carrier,flight,tailnum,origin.x,dest,air_time,distance,hour.x,minute,time_hour,origin.y,year.y,month.y,day.y,hour.y,temp,dewp,humid,wind_dir,wind_speed,wind_gust,precip,pressure,visib,year,type,manufacturer,model,engines,seats,speed,engine
2024,1,1,15,2347,28,107,59,8,B6,261,N198JB,JFK,BOS,36,187,23,47,2024-01-01 23:00:00,JFK,2024,1,1,23,42,30,62.18,360,9.20624,10.5943568672,0,1017.8,10,NA,NA,NA,NA,NA,NA,NA,NA
2024,1,1,517,530,-13,806,836,-30,B6,166,N805JB,JFK,PBI,152,1028,5,30,2024-01-01 05:00:00,JFK,2024,1,1,5,42,31,64.75,240,11.5078,13.242946084,0,1016.3,10,2012,Fixed wing multi engine,AIRBUS,A320-232,2,200,0,Turbo-fan
2024,1,1,557,600,-3,653,711,-18,B6,60,N279JB,JFK,BOS,37,187,6,0,2024-01-01 06:00:00,JFK,2024,1,1,6,41,31,67.3,250,11.5078,13.242946084,0,1016,10,2007,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2,20,0,Turbo-fan
2024,1,1,603,606,-3,903,927,-24,AA,135,N341RW,JFK,MIA,154,1089,6,6,2024-01-01 06:00:00,JFK,2024,1,1,6,41,31,67.3,250,11.5078,13.242946084,0,1016,10,2018,Fixed wing multi engine,BOEING,737-8,2,175,0,Turbo-fan
2024,1,1,604,600,4,827,837,-10,DL,221,N707TW,JFK,ATL,113,760,6,0,2024-01-01 06:00:00,JFK,2024,1,1,6,41,31,67.3,250,11.5078,13.242946084,0,1016,10,1997,Fixed wing multi engine,BOEING,757-2Q8,2,178,0,Turbo-fan
2024,1,1,608,600,8,901,943,-42,AA,19,N113AN,JFK,SFO,327,2586,6,0,2024-01-01 06:00:00,JFK,2024,1,1,6,41,31,67.3,250,11.5078,13.242946084,0,1016,10,2014,Fixed wing multi engine,AIRBUS INDUSTRIE,A321-231,2,379,0,Turbo-fan
2024,1,1,627,630,-3,816,838,-22,AA,368,N827NN,JFK,CLT,84,541,6,30,2024-01-01 06:00:00,JFK,2024,1,1,6,41,31,67.3,250,11.5078,13.242946084,0,1016,10,2010,Fixed wing multi engine,BOEING,737-823,2,162,0,Turbo-fan
2024,1,1,627,630,-3,807,828,-21,YX,461,N416YX,JFK,RDU,74,427,6,30,2024-01-01 06:00:00,JFK,2024,1,1,6,41,31,67.3,250,11.5078,13.242946084,0,1016,10,2013,Fixed wing multi engine,EMBRAER,ERJ 170-200 LR,2,88,0,Turbo-fan
2024,1,1,636,640,-4,923,1021,-58,DL,70,N721TW,JFK,SLC,268,1990,6,40,2024-01-01 06:00:00,JFK,2024,1,1,6,41,31,67.3,250,11.5078,13.242946084,0,1016,10,1999,Fixed wing multi engine,BOEING,757-231,2,178,0,Turbo-fan
2024,1,1,638,642,-4,927,943,-16,B6,147,N247JB,JFK,TPA,148,1005,6,42,2024-01-01 06:00:00,JFK,2024,1,1,6,41,31,67.3,250,11.5078,13.242946084,0,1016,10,2006,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2,20,0,Turbo-fan
